"Country Name","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","People using at least basic drinking water services (% of population)","Hospital beds (per 1,000 people)","Nurses and midwives (per 1,000 people)","Smoking prevalence, total (ages 15+) %","Diabetes prevalence (% of population ages 20 to 79)","People with basic handwashing facilities including soap and water (% of population)","Current health expenditure (% of GDP)","Current health expenditure per capita (current US$)","Out-of-pocket expenditure (% of current health expenditure)","Life expectancy at birth, total (years)","Population ages 65 and above (% of total population)"
"Cameroon","21.6","53.9","60.384863947357","1.5","0.9164","9","6","9.4020664336005","4.6706669032574","67.811813354492","70.957601070404","58.921","2.7236499077537"
"Congo (Kinshasa)","19.4","61.7","43.243322039902","0.8","1.1101","14","6","4.4715974551034","3.9787229150534","19.431646347046","40.124720335007","60.368","3.0169396174126"
"Congo (Brazzaville)","16.7","55.5","73.217760973919","1.6","0.6271","9.1","6","47.963672461366","2.9302792623639","49.983722686768","48.401239514351","64.29","2.7214158960455"
"Colombia","15.8","10.1","97.30010960981","1.5","1.3309","11.9","7.4","65.385758107472","7.2262808680534","459.19757080078","16.308426856995","77.109","8.7658300072967"
"Comoros","22.9","47.4","80.167516871077","2.2","0.6285","","12.3","15.573533718928","7.3843739926815","58.760929107666","74.647128582001","64.118","3.055403426546"
"Cabo Verde","17.2","19.5","87.083208013292","2.1","1.2983","35.2","2.4","","5.1654886454344","167.58961486816","28.896477818489","72.782","4.6983734441343"
"Costa Rica","11.5","6.4","99.701513913036","1.1","3.4144","","9.1","83.84104282107","7.3287963867188","869.07775878906","21.25539034605","80.095","9.8804353231194"
"Caribbean small states","19.097512840685","12.62291447584","94.553792710377","2.2672339247278","2.3311447779273","","11.629347050787","76.200963628378","6.1491208921497","582.67192700355","32.994569156715","73.637107765015","9.0006390215412"
"Cuba","16.4","8.4","95.327582307968","5.2","7.5614","36.4","9.6","85.198207520869","11.711326986551","987.62701416016","10.482663661241","78.726","15.564959156863"
"Curacao","","","99.497751847518","","","34.3","11.6","","","","","","17.168836890542"
"Cayman Islands","","","","","","30.6","6.8","","","","","",""
"Cyprus","11.3","4.1","99.613286148932","3.4","5.2512","13.1","9","","6.6845692694187","1731.6944580078","44.632035493851","80.828","14.048265648791"
"Czech Republic","15","5.4","99.880258796856","6.5","8.3955","","7","","7.2313390672207","1475.9151611328","14.809101819992","79.029268292683","19.800744844637"
"Germany","12.1","4.8","100","8.3","13.2352","19.1","10.4","","11.246834695339","5033.4521484375","12.672919034958","80.892682926829","21.562992320909"
"Djibouti","19.6","45.2","75.632307678145","1.4","","13.7","5.1","","3.316517919302","70.330894470215","26.504215598106","66.582","4.6090636427133"
"Dominica","","","","3.8","6.4385","15.6","11.6","","5.8768890798092","439.5944519043","30.954957008362","",""
"Denmark","11.3","6.5","99.999998935474","3.1","10.3195","26.7134317654","8.3","","10.108279436827","5800.1513671875","13.738465309143","80.953658536585","19.965259128921"
"Dominican Republic","19","15.8","96.690224750161","1.6","1.3802","17.026053933103","8.6","55.181980957229","6.1363950371742","433.20858764648","44.73819732666","73.892","7.2983896575441"
